row_id,customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_reply_text,intent,intent_notes,escalation,escalation_reason,ideal_reply_points,difficulty,annotation_method,predicted_intent,predicted_escalation,top_similarity,status,retrieval_bucket,escalation_bucket,generated_reply,evidence_used,generator_grounding_confidence,generation_status,generation_error
2,1555524,481025,Sat Nov 04 11:55:05 +0000 2017,Amazonは流石に分割払い出来ない、よな？？,@481025 Amazonです。残念ながら分割払いはご用意しておりません。ご了承ください🙏💦 SK,PAYMENT_BILLING,Payment/charge/billing issue; clarify transaction status and route sensitive cases appropriately.,Yes,Human review recommended because the case involves sensitive account/payment/security risk or elevated impact.,Payment/charge/billing issue; clarify transaction status and route sensitive cases appropriately.,hard,assistant_assisted_draft_review_required,OTHER,True,0.0,success,low,escalate,ご質問ありがとうございます。お支払い方法に関するご確認が必要です。どの注文または支払い方法についてお尋ねでしょうか？,[],0.5,success,
15,2840267,790384,Tue Nov 28 07:43:01 +0000 2017,"@AmazonHelp I have read that communication. It is of no help. No one is even trying to understand, why i complained","@790384 Please reply to the email with appropriate understanding, we will check and connect with you. ^RW",COMPLAINT_FEEDBACK,"Acknowledge dissatisfaction, avoid defensiveness, and ask for the specific issue or case details.",No,Routine issue with a sufficiently clear intent and available historical support evidence.,"Acknowledge dissatisfaction, avoid defensiveness, and ask for the specific issue or case details.",hard,assistant_assisted_draft_review_required,COMPLAINT_FEEDBACK,False,0.2261629649400486,success,medium,auto_handle,We're sorry you're experiencing this. Could you please provide more details about your issue so we can assist you better?,"[2, 4]",0.15,success,
18,2176545,502846,Thu Nov 09 15:48:45 +0000 2017,@AmazonHelp I filled the form out,@502846 We've received your information and will be in touch shortly. Thanks for the update. ^CO,OTHER,Insufficient or non-actionable context; acknowledge and ask for clarification if needed.,No,Routine issue with a sufficiently clear intent and available historical support evidence.,Insufficient or non-actionable context; acknowledge and ask for clarification if needed.,easy,assistant_assisted_draft_review_required,OTHER,False,0.9668749434006793,success,high,auto_handle,Thank you for submitting the form. We'll review the details and reach out to you shortly.,"[1, 2]",0.9,success,
20,1430057,452120,Thu Nov 02 07:15:54 +0000 2017,Amazonでハガレン画集をぽちぽちぽち♡,@452120 ご利用ありがとうございます！ю┐￣ε￣) ポチッ ET,OTHER,Insufficient or non-actionable context; acknowledge and ask for clarification if needed.,Yes,Human review recommended because the message is too vague or context-poor for safe automated handling.,Insufficient or non-actionable context; acknowledge and ask for clarification if needed.,hard,assistant_assisted_draft_review_required,OTHER,True,0.0,success,low,escalate,お買い上げありがとうございます！ご注文の確認や詳細については、お手数ですが注文履歴よりご確認ください。何かご不明点がございましたら、お気軽にお知らせください。,[],0.5,success,
22,522518,240696,Sat Dec 02 04:05:20 +0000 2017,@115821 why am I paying for prime when you can't get my packages here on time? #GiftsForAFamilyinNeed,"@240696 I'm sorry for the frustration, Stephanie! We'd like to help! Could you tell us more details about what's going on? ^HM",ORDER_DELIVERY,"Existing-order or delivery/tracking issue; prioritize delivery status, ETA, or next-step guidance.",No,Routine issue with a sufficiently clear intent and available historical support evidence.,"Existing-order or delivery/tracking issue; prioritize delivery status, ETA, or next-step guidance.",medium,assistant_assisted_draft_review_required,COMPLAINT_FEEDBACK,False,0.5093585936669814,success,high,auto_handle,"We're sorry to hear about the delay. Could you confirm if the delivery date mentioned during checkout was missed? Some items may take longer to process, but we're here to help resolve this.","[1, 2]",0.7,success,
25,349146,199100,Sun Oct 08 08:16:39 +0000 2017,"@AmazonHelp @120533 @AmazonHelp en 1-2 le mail, en 3 votre site lorsque je veux me connecter (je n'ai plus utilisé ce compte depuis quelques années https://t.co/zD48CHw1yG","@199100 Cela ne provient pas de Amazon. Je vous invite à le signaler via le lien suivant : https://t.co/N27ZldAnQK
^SM",ACCOUNT_ACCESS,Account/login/security issue; guide safe account-access recovery without requesting passwords.,Yes,Human review recommended because the case involves sensitive account/payment/security risk or elevated impact.,Account/login/security issue; guide safe account-access recovery without requesting passwords.,hard,assistant_assisted_draft_review_required,ACCOUNT_ACCESS,True,0.3056616298142735,success,medium,escalate,"Bonjour, est-ce que vous recevez un message d'erreur lors de votre tentative de connexion? Veuillez également vérifier vos emails pour des confirmations ou des demandes de vérification.","[4, 1]",0.28,success,
33,117888,142145,Thu Nov 23 22:07:07 +0000 2017,"@AmazonHelp I was hoping that the Amazon Fire TV Stick would be appearing in Canada too. As its on sale in this US, is this not the case? If not, can I buy it on https://t.co/lrFvn9VFkg and have it shipped to Canada? Its about $32CAD when converted, but its $50 on Amazon.ca",@142145 Thanks for your inquiry! This item is sold on the .com site. Have you encountered a shipping address issue in the check-out process? ^SE,PRODUCT_CONTENT,Product/content availability or product-information question; clarify availability/details.,No,Routine issue with a sufficiently clear intent and available historical support evidence.,Product/content availability or product-information question; clarify availability/details.,hard,assistant_assisted_draft_review_required,PRODUCT_CONTENT,False,0.3045218536752745,success,medium,auto_handle,"The Amazon Fire TV Stick is available for purchase in Canada on Amazon.ca. For the most accurate information, please check the product page directly. Purchasing from third-party websites may not include Amazon's standard warranty or support.",[],0.0,success,
34,2282995,144097,Thu Oct 19 19:09:49 +0000 2017,"@AmazonHelp Eu já receeeeeebi TUDO, migs!","@144097 Eitaa, então o que está aguardando para começar a ler 🤷‍? ^MB",OTHER,Insufficient or non-actionable context; acknowledge and ask for clarification if needed.,Yes,Human review recommended because the message is too vague or context-poor for safe automated handling.,Insufficient or non-actionable context; acknowledge and ask for clarification if needed.,hard,assistant_assisted_draft_review_required,OTHER,False,0.6310342137846358,success,high,auto_handle,Great to hear that! Let us know if you need anything else.,"[1, 2]",0.0,success,
59,359212,201074,Sun Oct 08 15:30:01 +0000 2017,@115850 I can't find this contest on my phone application nor website @amazonhelp https://t.co/C03LFvuTYX,"@201074 Hi, you can find the details for the contest here: https://t.co/wWj6x2HONY kindly take a look. ^MS",PRICING_PROMOTIONS,Pricing/offer/promotion question; clarify the offer or pricing condition involved.,No,Routine issue with a sufficiently clear intent and available historical support evidence.,Pricing/offer/promotion question; clarify the offer or pricing condition involved.,hard,assistant_assisted_draft_review_required,OTHER,False,0.3917483688898323,success,medium,auto_handle,Could you please share the name of the contest you're trying to find? This will help me assist you more effectively.,[4],0.25,success,
67,629521,269132,Wed Nov 22 15:32:05 +0000 2017,@AmazonHelp J’ai 3 commandes que j’ai passer hier matin. Toutes en prime avec « livraison garanti le 22 novembre avant 20h » elle sont même pas expédié. Cela serre à rien de proposer du prime dans ce cas 😩,@269132 Avez-vous signalé ce retard d'expéditon à notre service client pour en vérifier la cause ? ^KD,ORDER_DELIVERY,"Existing-order or delivery/tracking issue; prioritize delivery status, ETA, or next-step guidance.",No,Routine issue with a sufficiently clear intent and available historical support evidence.,"Existing-order or delivery/tracking issue; prioritize delivery status, ETA, or next-step guidance.",hard,assistant_assisted_draft_review_required,PRIME_MEMBERSHIP,False,0.3027598387290119,success,medium,auto_handle,Je comprends votre frustration. Pourriez-vous vérifier le suivi de vos commandes dans votre compte Amazon et me faire savoir si les informations de livraison sont disponibles? Cela m'aiderait à mieux comprendre la situation.,"[1, 2]",0.3,success,
