customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_reply_text,intent,intent_notes,verified_intent,verification_notes
1268924,417118,Mon Oct 16 06:11:35 +0000 2017,"Well played @115821! blocked my account after adding 425$ bcz of address verification &amp; you guys asking me to fax my details,Seriously! https://t.co/FIXtWELTqq",@417118 Please send on the requested details via fax. You can use free fax services online.^CD,ACCOUNT_ACCESS,Machine-assisted training label; manual semantic correction. Not human-verified. | Human-verified correction: Positive feedback about Alexa; no specific technical issue is reported.,,
547927,247486,Sat Dec 02 18:33:56 +0000 2017,"@AmazonHelp I've reported something a few weeks ago, waiting on a response. Nothing . I called, the rep was EXTREMELY nice, but because my issue was kindle related, sent me to community help. I've sent two more emails, the last LAST Friday, with no response.","@247486 Sorry to hear that, Jessica. Please reach out to us here: https://t.co/hApLpMlfHN for real time assistance. Thank you. ^AP",COMPLAINT_FEEDBACK,Machine-assisted training label; manual semantic correction. Not human-verified. | Human-verified correction: Positive feedback about Alexa; no specific technical issue is reported.,,
743262,297723,Wed Oct 11 15:47:23 +0000 2017,"Please, please, please @115821 send me my book... 😭 #everydaywatercolor","@297723 I'm sorry for the delay. When you go to Your Orders, what's the estimated delivery date for your book? ^EM",PRODUCT_CONTENT,Machine-assisted training label; rules:2;ml:0.21. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
350477,199379,Sun Oct 08 11:40:00 +0000 2017,"@120533 Expliquez moi comment transmettre ma demande via mon compte, vu que l'option n'est pas dispo (commande du 26/10/2016)","@199379 Je vous invite à contacter notre SAV via le lien suivant (chat, email ou téléphone) : https://t.co/hgIrz98cdI
^SM",TECHNICAL_SUPPORT,Machine-assisted training label; manual semantic correction. Not human-verified.,,
510359,237249,Fri Dec 01 22:15:43 +0000 2017,@116935 my favorite feature stoped working. Which is the add to playlist. You used to  be able to tap a song playing and add it to a playlist. Even after several updates still not working.,@237249 That's one of my favorite features! I'm sorry you're having trouble with it. You can add a song to your playlist by following the instructions here: https://t.co/8e2uVYROgN ^TK,TECHNICAL_SUPPORT,Machine-assisted training label; rules:2;ml:0.24. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
158783,152503,Fri Nov 24 17:32:10 +0000 2017,um mistério chamado pagar com débito no site da @117086 até agora não sei se comprei ou não o que eu queria. ruim demais.,"@152503 Olá, Deua! Sem compartilhar informações pessoais da sua conta, poderia nos fornecer mais detalhes sobre o acontecido?. ^NB",TECHNICAL_SUPPORT,Machine-assisted training label; rules:4;margin:4. Not human-verified.,,
752881,299941,Wed Oct 11 14:31:04 +0000 2017,"@AmazonHelp Si, tb puedo decirte un pedido reciente de la cuenta que no entra","@299941 Entiendo. ¿Recibes algún mensaje de error al intentar acceder a tu cuenta, César? ^LG",ACCOUNT_ACCESS,Machine-assisted training label; manual semantic correction. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
2399207,690399,Sat Nov 18 08:45:03 +0000 2017,@AmazonHelp Do you mean email customer service or use the website to cancel the order. This loaded when I clicked on cancel order. https://t.co/G3p0hhRKvi,@690399 Try contacting us directly on a browser instead of the app. ^KM,TECHNICAL_SUPPORT,Machine-assisted training label; rules:4;margin:2. Not human-verified.,,
1899097,565987,Tue Oct 31 03:34:43 +0000 2017,"@AmazonHelp ご丁寧にありがとうぎざいます。アプリの入れ直しはやってみたのですが、もう一度試してみます。
洋書のサンプルをDLしたところ、国内出版物を検索しても検出されなくなったのですが、何か設定が必要でしょうか？",@565987 ご質問の件につきましては、ご利用環境などをお伺いした上でご案内させていただきますので、誠に恐れ入りますが、先ほどご案内したリンクよりカスタマーサービスにお問い合わせください。TN,TECHNICAL_SUPPORT,Machine-assisted training label; manual semantic correction. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
2936666,811832,Wed Nov 29 11:50:25 +0000 2017,@AmazonHelp No Amazon links work at all. Can't access any of it. I will have to ask a friend to use their phone or internet. Thanks for your help.,@811832 No worries at all. You should be able to log in from a different device and than you can either cancel it from your own account or get in touch with us.^MA,ACCOUNT_ACCESS,Machine-assisted training label; rules:10;margin:10. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
631664,269691,Wed Nov 22 15:49:15 +0000 2017,@115821 What is amazon doing about the Credit card charges from November 7 and 9. I have been charged 12 times for the same purchases on those dates. And through verification by credit card centers apparently it is a massive system wide error. I’m out tens of thousands of dollars,@269691 I'm so sorry to hear about these unexpected charges! We don't have account access through Twitter. Please reach out to us here: https://t.co/hApLpMlfHN so we may further assist. ^RO,PAYMENT_BILLING,Machine-assisted training label; rules:10;margin:8. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
790216,308435,Thu Oct 12 12:10:38 +0000 2017,@AmazonHelp I've been going round in circles with customer services since yesterday. Do you not have a fraud or revenue protection department?,"@308435 Can you tell us more about what's going on, Natasha? Please don't provide personal or acct specific info. ^LB",PAYMENT_BILLING,Machine-assisted training label; manual semantic correction. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
2672272,752406,Tue Oct 31 10:55:24 +0000 2017,Facing bad experience wid @115850 my odr getting delayed or cancel without any reason despite subscription of prime membership,@752406 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,PRIME_MEMBERSHIP,Machine-assisted training label; rules:10;margin:8. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
968679,349942,Sat Oct 14 06:44:14 +0000 2017,"@AmazonHelp U R required to give cashBack of Rs 50, as per your offer. It is effecting your credibility, as all others are also not got such cashBack",@349942 and we'll look into it. (2/2)^AU,PRICING_PROMOTIONS,Machine-assisted training label; rules:11;margin:11. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
477762,125792,Fri Dec 01 12:06:01 +0000 2017,@AmazonHelp No it was just everything that I looked at that is #prime doesn't show as being available to deliver the next day. I sort of suspected that you have dropped this for certain items.,@125792 I'm terribly sorry for the wait! Some items take a little longer to process than others. We aim to deliver by the date given in your order confirmation e-mail. Please let us know if we miss that date! ^TK,PRODUCT_CONTENT,Machine-assisted training label; rules:2;ml:0.29. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
926365,339804,Fri Oct 13 19:08:40 +0000 2017,@AmazonHelp with Amazon prime do I still get 20% off new games,@339804 Thanks for reaching out! The discount is still available for Prime members. More info here: https://t.co/Mk7PWqA4ZR ^GG,PRIME_MEMBERSHIP,Machine-assisted training label; rules:8;margin:8. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
1748914,527156,Tue Nov 07 15:51:52 +0000 2017,"All the other ecommerce website should take a page out of @115850
Online ordering have never been this easy using @115823 😍",@527156 We're delighted to know our service meets your expectations. Happy shopping. :) ^MO,TECHNICAL_SUPPORT,Machine-assisted training label; rules:4;margin:4. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
1284951,420572,Mon Oct 16 08:41:13 +0000 2017,@116618  Requesting more uncensored version for Kollywood  #Thupparivaalan,@420572 Thank you for watching prime video's. Kindly stay tuned to our website for more updates. ^RD,PRODUCT_CONTENT,Machine-assisted training label; manual semantic correction. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
1390969,120538,Sat Oct 28 12:01:45 +0000 2017,@AmazonHelp I have done so but Still I Don't hope anything to be done from your side As I know how useless you guys are,@120538 We'll be sure to get back to you with an update soon. ^HA,COMPLAINT_FEEDBACK,Machine-assisted training label; manual semantic correction. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
1265355,416297,Tue Oct 17 10:23:13 +0000 2017,@AmazonHelp ではお支払いメールが来る前に番号確認して払えば問題ないと言うことですね？,@416297 お支払い番号は、発行された時点で注文履歴から確認できるようになると同時に、Eメールで送信されます。なお、どちらから番号をご確認いただいてお支払いされても問題はございません。TN,PAYMENT_BILLING,Machine-assisted training label; manual semantic correction. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
2261782,658501,Mon Nov 13 14:47:18 +0000 2017,"@AmazonHelp I have shared the information several times for no use. After 6 yrs of good experience, I now found limitations of #Amazon &amp; reason to go for other e-commerce sites.","@658501 I get your disappointment. We'd like to work on your issue right away. If you've shared the details in the above link, we'll look into it and get back to you soon. ^MO",COMPLAINT_FEEDBACK,Machine-assisted training label; manual semantic correction. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
380561,206271,Mon Oct 09 08:47:55 +0000 2017,@AmazonHelp さっきヤマトにもカスタマーサービスにも電話したんですけど繋がらなかったです😡😡😡,@206271 ご迷惑をおかけしております。先程のリンクよりアクセスしていただきますと、お電話の平均待ち時間が表示されます。カスタマーサービスよりお電話いたしますので、電話番号を入力のうえボタンを押してお待ちください。 RI,COMPLAINT_FEEDBACK,Machine-assisted training label; manual semantic correction. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
2511615,715856,Wed Nov 15 22:52:30 +0000 2017,"Que raro que @116875 no se haya cobrado el juego, creo que ya les jalaron los pelos por entregarlos un día antes u.u","@715856 ¡Hola, Raúl! Sin compartir información personal, ¿puedes darnos más detalles sobre lo ocurrido con el juego?. ^NB",PAYMENT_BILLING,Machine-assisted training label; rules:2;ml:0.27. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
479358,228921,Fri Dec 01 12:45:31 +0000 2017,@AmazonHelp I got letter from Amazon in the mail today offering another 30-Day Free Trial to Amazon Prime but when I go to https://t.co/VGstb43w7i I'm forced to pay. https://t.co/ZPmjmiKyl2,"@228921 I apologize for the inconvenience, we consider your free or paid membership history when determining whether you're eligible for an Amazon Prime free trial. ^NC",PRIME_MEMBERSHIP,Machine-assisted training label; rules:8;margin:8. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
2825625,287440,Mon Nov 27 14:28:46 +0000 2017,@AmazonHelp Tell me reason why shouldn't we file a case in the consumer Court.,"@287440 We wouldn't be able to comment on that. However, we'd love to assist you regarding your order. Therefore, request you to use the link provided above to get in touch with us. Appreciate your understanding. ^AM",COMPLAINT_FEEDBACK,Machine-assisted training label; manual semantic correction. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
861180,197787,Fri Oct 20 17:19:07 +0000 2017,"@AmazonHelp My Kindle Fire HD 8 Tablet (bought in July) keeps crashing, while watching downloaded @129773 content. Help!","@197787 I'm sorry your content keeps crashing, Alice! Try the troubleshooting here: https://t.co/XN3QODol5D Keep us posted! ^AJ",PRODUCT_CONTENT,Machine-assisted training label; rules:2;ml:0.20. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
1173033,308616,Tue Oct 24 19:17:57 +0000 2017,@AmazonHelp i want to continue my membership but want to change the date. Do i just cancel and reactivate on date? Silly that no option.,@308616 Hi Marc! You can cancel your Prime membership at any time and are welcome to sign up again here: https://t.co/EMoca4AE9A ^KL,PRIME_MEMBERSHIP,Machine-assisted training label; rules:2;ml:0.22. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
2439622,699731,Tue Nov 14 22:52:27 +0000 2017,@AmazonHelp So I was still unsure if I should just get a refund and if I needed to go out and buy a replacement to use tonight instead.,"@699731 I'm sorry about the wait, Alison! What is the name of the carrier assigned to your order here: https://t.co/Y5jpI9gRhE? ^SH",RETURN_REFUND,Machine-assisted training label; rules:16;margin:16. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
1700072,515557,Mon Nov 06 20:42:05 +0000 2017,@AmazonHelp keep getting error redeeming code message when im trying to redeem my sonic forces preorder code. Help?,@515557 This item is not released until November 7th. Please let us know if you're not able to redeem it after it is released. ^JS,TECHNICAL_SUPPORT,Machine-assisted training label; rules:2;ml:0.25. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
1324544,429082,Fri Oct 27 10:38:58 +0000 2017,@115821 I’m being charged for kindle unlimited even though my amazon account says I don’t have a subscription. How do I get a refund?,"@429082 Hi Clare, please contact us here so we can look into it further:  https://t.co/JzP7hlA23B ^AT",PAYMENT_BILLING,Machine-assisted training label; manual semantic correction. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
2170955,383783,Thu Nov 09 12:44:46 +0000 2017,@AmazonHelp Can’t find the option to buy. Either on amazon app or audible app,@383783 Hello Jovan! The following page should help you out with this: https://t.co/dKgSMps0mx Keep us updated!  ^CN,TECHNICAL_SUPPORT,Machine-assisted training label; rules:4;margin:4. Not human-verified.,,
2663165,750512,Sun Nov 19 08:24:50 +0000 2017,"@120540 come mai ho ordinato un libro il 6 novembre, che sarebbe dovto arrivare il 16 novembre ma non mi è ancora arrivato? Se vado negli ordini in corso dice : spedito... ma ho paura che il pacco non arrivi più.",@750512 Si tratta di un ordine spedito da Amazon o da un venditore Marketplace? Clicca qui: https://t.co/oGmhNDaGue per verificarlo. ^VE,PRODUCT_CONTENT,Machine-assisted training label; rules:2;ml:0.21. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
2679515,265718,Wed Nov 22 00:27:38 +0000 2017,@AmazonHelp Immediately! It asked me to sign in again &amp; then brings up session expired every time ;/,"@265718 We'd like to take a closer look into this with you. When you have a moment, please call or chat with us here: https://t.co/uBUuKlS0wJ ^MB",ACCOUNT_ACCESS,Machine-assisted training label; manual semantic correction. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
349594,199192,Sun Oct 08 06:46:40 +0000 2017,"@115850 Order 5568 not received timely even extra charged for that, wrong Massage forwarded'Held for payment even nobody came to deliver.",@199192 support team here: https://t.co/vlvfJr4nN9? We'll be glad to help. 2/2 ^MJ,PAYMENT_BILLING,Machine-assisted training label; rules:17;margin:15. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
1151136,390892,Sun Oct 15 20:37:13 +0000 2017,@AmazonHelp Got it working. Thx.,@390892 Thanks for the update! Please let us know if you need any further assistance. ^BH,TECHNICAL_SUPPORT,Machine-assisted training label; manual semantic correction. Not human-verified.,,
2664101,750686,Sun Nov 26 22:04:51 +0000 2017,@AmazonHelp bitterly disappointed with the lack of care by @115830 &amp; their customer service. Not helped by the patronising sign off https://t.co/wctLKtbvYy,@750686 I'm very sorry for the poor experience. Without disclosing your personal information. Will you tell us more about the issue you're experiencing? We'd be happy to help in any way possible. ^SK,COMPLAINT_FEEDBACK,Machine-assisted training label; rules:2;ml:0.25. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
2406925,414819,Tue Nov 14 14:54:18 +0000 2017,"Hello, @115850  &amp; @AmazonHelp 
Please Help. I am trying 5 time Add Money in Wallet but problems.
Please check.
@115821 
@115830","@414819 I understand your concern about the Amazon pay balance. Did you happen to report this to our support team? If no, please contact us here: https://t.co/vlvfJr4nN9 so we can assist you.^PJ",PAYMENT_BILLING,Machine-assisted training label; manual semantic correction. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
544418,246482,Sat Dec 02 16:46:09 +0000 2017,"@AmazonHelp Pone esto ""Vendido por Linkmart y gestionado por Amazon""","@246482 Te agradecemos la información, Verónica. Para lograr revisar con mayor detalle lo que esta sucediendo con la devolución, te sugerimos contactar a nuestro departamento de Servicio al Cliente en el siguiente enlace: https://t.co/OjvUxwnzPe. ^AA",RETURN_REFUND,Customer is providing seller/fulfillment information for a return issue. | Human-verified correction: Customer cannot access their account.,,
131795,145716,Fri Nov 24 07:02:32 +0000 2017,Amazon primeは神ってわかんだね https://t.co/AdoMa0VrAg,@145716 （´-`）.｡oO ( ぜひお楽しみくださいませ～ )HM,PRIME_MEMBERSHIP,Machine-assisted training label; rules:6;margin:6. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
1890590,563805,Sun Nov 26 08:51:12 +0000 2017,"@AmazonHelp It would be nice if you read my tweet before, I am saying that my account is LOCKED. Can you please read what I stated above and not give me some bullshit answer back, thanks.","@563805 Please use skip sign in option, on the link previously provided. ^TP",ACCOUNT_ACCESS,The customer explicitly states that their Amazon account is locked and they cannot access it. This is an account access/lockout issue. | Human-verified correction: Customer cannot access their account.,,
1702204,224133,Mon Nov 06 21:28:28 +0000 2017,@115823 Have tried so hard to verify my account and nothing works. Please help.,"@224133 We're here to help! Are you having trouble signing in to your account? If so, are you receiving any error messages? ^RA",ACCOUNT_ACCESS,Machine-assisted training label; manual semantic correction. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
71890,132129,Thu Nov 30 10:06:16 +0000 2017,Bonjour @120533 je voudrais savoir si un jour vous comptez mettre comme moyen de paiement la carte Maestro ? Merci beaucoup,"@132129 Bonjour, je vous remercie pour votre suggestion, nous ne manquerons pas de remonter cela. Pour le moment les moyens de paiements acceptés sur notre site sont disponible sur la page suivante : https://t.co/AAffAeIkaw
^ARC",PAYMENT_BILLING,Machine-assisted training label; rules:2;ml:0.23. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
2913146,806436,Tue Nov 28 22:31:47 +0000 2017,@116875 que puedo hacer con las compras que hice si mi cuenta está suspendida?,"@806436 ¡Hola, Alfonso! Sin compartir información personal, ¿podrías informarnos si recibiste un correo con instrucciones sobre como accesar a tu cuenta de nuevo?. ^NB",ACCOUNT_ACCESS,Machine-assisted training label; manual semantic correction. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
75926,132998,Thu Nov 30 11:46:51 +0000 2017,Estou baixando tudo quanto é livro gratuito e amostra grátis. Obrigada #kindle @117804,"@132998 Muito amor, Iané 💕⚡️ Qual livro baixou? 🤔 ^VL",PRODUCT_CONTENT,Machine-assisted training label; manual semantic correction. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
51598,127581,Wed Nov 01 18:23:55 +0000 2017,@AmazonHelp I checked again. I have uploaded the video to youtube. Its playing here. Is their any location restriction.,@127581 Thanks for flagging this. We'll have this reviewed internally. ^SQ,TECHNICAL_SUPPORT,Machine-assisted training label; rules:4;margin:4. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
2628834,742458,Fri Nov 17 17:25:12 +0000 2017,@715660 $108 was taken out my account for amazon prime and i didn't sign up for none of that shit,@742458 I'm sorry about the unexpected expense! You can cancel your Prime membership for a refund: https://t.co/NfFEaumGk7 Please let us know if we can help with anything else! ^PF,PRIME_MEMBERSHIP,Machine-assisted training label; rules:8;margin:8. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
2878694,798982,Tue Nov 28 13:05:56 +0000 2017,@AmazonHelp @798981 @115850 Come on Amazon then who is prompting it with you name and what is use for them. My only request enable no cost emi by Bajaj finserv for OnePlus 5t @132994 @139570 @115850,"@798982 I get you concern, Samuel. All the available payment options for this product are directly posted on the product details page here: https://t.co/SQR4Sag0vD. You may check it.  However, I'll ensure to forward your feedback to the concerned team internally. ^NK",PAYMENT_BILLING,Machine-assisted training label; manual semantic correction. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
1505400,469385,Fri Nov 03 16:27:49 +0000 2017,"@AmazonHelp Thank you .
Will they just send a new one ?
I wouldn’t normally mind but it’s expensive and for a gift ?
Also do they pay for it to be sent back ? Or collected ? 
Sorry for all the questions xxx","@469385 Typically, these are questions best answered by the third-party seller as they may have different options available. ^WM",PRICING_PROMOTIONS,Machine-assisted training label; rules:2;ml:0.27. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
1576334,485651,Sat Nov 04 18:07:51 +0000 2017,@115821 @AmazonHelp What rubbish service is this on chat your agent said i will get refund and on email ur agent sorry not possible? Wtf? https://t.co/FtxP4gjewi,@485651 We'd like to take a closer look into your refund issue. Please fill out this form: https://t.co/GIJyeYqKE0. ^AM,RETURN_REFUND,Machine-assisted training label; rules:16;margin:16. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
523421,240945,Sat Dec 02 04:48:22 +0000 2017,"Hopefully this is the last time I use Amazon Prime.... 

All my bank account are scolding me rn. 😂","@240945 Hey, don't let the bank accounts, get you down! We got your back! ^HS",PRIME_MEMBERSHIP,Machine-assisted training label; rules:8;margin:8. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
2855207,199875,Mon Nov 27 20:31:00 +0000 2017,"@115833 @AmazonHelp Guten Abend, meine Alexa aktiviert sich in den letzten paar Tagen immer wieder von selbst ohne das irgendwer das Aktivierungswort sagt. Ist auch bei Bekannten so. Woran liegt das?","@199875 Normal meldet sie sich nur wenn sie gefragt wird, oder wenn jemand (auch der TV) ein ähnliches Wort ausspricht. Wie man das Aktivierungswort ändert, kannst du hier nachlesen: https://t.co/vyzB3gZe0T ^BL",TECHNICAL_SUPPORT,"The customer is asking about Alexa activation behavior and how to change the activation/wake word. This is a device functionality/configuration issue, so it falls under technical support. | Human-verified correction: Customer cannot access their account.",,
2884160,800066,Tue Nov 28 11:00:41 +0000 2017,"@AmazonHelp Hi, is it possible to acquire a tax refund paper from Amazon for items purchased and intend to be shipped abroad?",@800066 Hello! You can find info on tax refund's here: https://t.co/NWh6bVxdzS.^CN,RETURN_REFUND,Machine-assisted training label; rules:16;margin:8. Not human-verified. | Human-verified correction: Customer cannot access their account.,,
